,file,source company,authors,company symbols,company names,trade call,target price,possible sources,,
24,JP+Morgan-+Phoenix+Mills+-+Annuity+income+could+grow+4.pdf,['jpmorgan'],"['gunjan.x.prithyani', 'Quant_Strategy', 'saurabh.s.kumar']",[],['Phoenix Mills Ltd.'],Sell,11,"['jpmorgan', 'Bloomberg']",,
25,IWEO_2011_lowres.pdf,['gwec'],"['info', 'wiseinfo', 'secretary']","['GLOBAL', 'ICICI']",[],Sell,2020,"['gwec', 'wisein', 'indianwindpower', 'WISE']",,
26,Bajaj Corp 4QFY18 Outlook Review.pdf,['sparkcapital'],"['tejash', 'madhav', 'gnanasundar']","['GNA', 'STAN', 'TOTAL', 'MARG', 'MADHAV']",[],Buy,586,['sparkcapital'],,
27,2010_analyst_meet_presentation.pdf,['=2007-08'],['e28094'],"['ITC', 'UBL', 'KFA']",[],Sell,18,"['-2007-08', '=2007-08']",,
28,DRRD-20170505-MOSL-CU-PG006.pdf,['motilaloswal'],['Varun.kumar'],['DRRD IN'],[],Buy,3050,"['motilaloswal', 'Company; MOSL']",,
29,Avant Garde Wealth Mgmt - Quarterly letter - 1306.pdf,['Capital Line'],['NA'],[],[],Buy,2013,['Capital Line'],,
30,20141013_IndusInd-Bank-Limited_204_QuarterUpdate.pdf,['motilaloswal'],"['reports', 'Alpesh.Mehta', 'kadambari.balachandran', 'anosh.Koppikar', 'Vallabh.Kulkarni']","['IIB IN', 'IDBI', 'ICICI', 'PNB', 'SBIN', 'IDFC', 'HDFC']",[],Buy,685,"['MotilalOswal', 'motilaloswal', 'Company']",,
31,"ICRA Sector Updates - Indian Tractor Industry, Aug 2012.pdf",['icraindia'],"['aghosh', 'subrata', 'shishir.kumar', 'd.vinod']","['ICRA', 'BANG']",[],,,"['icraindia', 'CMIE Database; ICRA Estimates']",,
32,ECO-CPI-IIP-20180612-MOSL-ES-PG006.pdf,['motilaloswal'],"['Nikhil.Gupta', 'Rahul.Agrawal']",[],[],,,"['MotilalOswal', 'motilaloswal', 'MOSL']",,
33,HFC-23_Policy-Briefing1.pdf,['cdm-watch'],"['fionnualawalravens', 'Eva.filzmoser']",['GLOBAL'],[],Sell,2009,"['cdm-watch', 'eia-international']",,
34,Ultratech Cement Ltd (ULTC.NS)- Binani Cement Assets- MS.pdf,['morganstanley'],"['Ashish.G.Jain', 'Mukund.Sarawogi']","['ACC', 'TOTAL']","['Ambuja Cements Ltd.', 'ACC Ltd.', 'Shree Cement Ltd.']",Buy,1,"['morganstanley', 'Morgan Stanley Research']",,
35,EDEL_PULSE-conference_note-Aug-12-EDEL.pdf,['edelcap'],['Bhaskar'],['M&M'],[],,,"['edelcap', 'Edelweiss research']",,
36,FromAnecdotetoAssessment.pdf,['umich'],['kthirolf'],[],[],,,['umich'],,
37,sunhdfc.pdf,['hdfcsec'],['meeta.shetty'],"['HDFC', 'TOTAL', 'SUNP IN']",[],Sell,536,"['hdfcsec', 'HDFC sec Inst Research']",,
38,Corona Audit_Report_2011-12.pdf,['Others'],['corona bus'],"['TOTAL', 'PEL']",['Punjab National Bank'],,,[],,
39,Ambit_Ten Interesting Things_Weeklies_28Mar2018.pdf,['ambit'],['Sajid Merchant'],[],[],,,"['ambit', 'sageoneinvestments', 'News 18']",,
40,IndusInd Bank-Prabhudas Lilladher Q3FY17 Update.pdf,['plindia'],"['vidhishah', 'rsreesankar', 'priteshbumb']",[],[],Sell,48,"['plindia', 'PL Research']",,
41,India Steel UBS part 2.pdf,['ubs'],['william.vanderpump'],"['NMDC', 'SAIL', 'TI']",[],Buy,2015,"['ubs', 'UBS']",,
42,Bigbloc Const.  Investor presentation.pdf,['sgapl'],['cs_sumit'],['TI'],[],,,['sgapl'],,
43,VIP 1QFY17.pdf,['sparkcapital'],"['tejash', 'madhav', 'gnanasundar']","['GNA', 'TOTAL', 'VIP IN', 'MADHAV']",[],Buy,131,['sparkcapital'],,
44,UPLL-20181026-MOSL-RU-PG012.pdf,['MotilalOswal'],"['Aksh.Vashishth', 'Sumant.Kumar']","['UPLL IN', 'UPL']",[],Buy,749,"['MotilalOswal', 'MOSL']",,
45,WHIRL-20171127-MOSL-CU-PG006.pdf,['MotilalOswal'],"['Ankur.VSharma', 'Amit.Shah']",['WHIRL IN'],[],,,['MotilalOswal'],,
46,Astral Poly.pdf,['antiquelimited'],['nehal.shah'],['ASTRA IN'],[],,,"['antiquelimited', 'Antique']",,
47,IceCap Asset Management Limited Global Markets November 2011.pdf,['IceCapAssetManagement'],['keithdicker'],['DOLLAR'],[],,,"['IceCapAssetManagement', 'St. Louis Federal Reserve']",,
48,http___www.edelresearch.com_rpt_showPdf.aspx_id=20806&reportname=_BRAVEHEART_SERIES-Zee_Entertainment_Enterprises.pdf,['Others'],['Sridhar'],[],[],,,[],,
49,BLS_International-_2QFY18_-_HDFC_sec.pdf,['hdfcsec'],"['apurva.prasad', 'amit.chandra']","['BLS', 'TOTAL', 'LT', 'MARG', 'BLSIN IN', 'HDFC']",[],Sell,300,"['hdfcsec', 'HDFC sec Inst Research']",,
50,Godrej Consumer products.pdf,['MotilalOswal'],"['AmitPurohit', 'AmnishAggarwal', 'reports']",[],[],Buy,5,"['MotilalOswal', 'motilaloswal', 'Company/MOSL']",,
51,AGLL-20170523-MOSL-RU-PG010.pdf,['motilaloswal'],['Varun.kumar'],"['FCL', 'ALLCARGO', 'AGLL IN']",[],Buy,228,"['motilaloswal', 'MOSL']",,
52,Antique Broking- Sector Report  Infrastructure & Construction Sector - On the cusp of recovery.pdf,['antiquelimited'],"['dhaval.patel', 'rahul.modi']","['MEP', 'NCC', 'ASBL IN', 'PNC', 'NH', 'SADBHAV', 'SINP IN', 'TRIL', 'IRB', 'ASHOKA', 'IDFC', 'NJCC IN', 'KNRC IN', 'IRB IN', 'SADE IN', 'HCC']",[],Buy,355,"['antiquelimited', 'Antique']",,
53,BP Wealth- Kitex Garments Limited.pdf,['Others'],['Administrator'],"['KTG IN', 'KITEX']",[],,,[],,
54,FRC_Study_ETF_Executive%20Summary.pdf,['frcnet'],"['craig.kilgallen', 'david.enns', 'elizabeth.wetherbee', 'deborah.wetherbee']","['TIL', 'TI']",[],Sell,30,"['frcnet', 'Financial Research Corporation']",,
55,Annual-Report2017-18.pdf,['adityabirla'],"['kamal.r', 'brr.utcl']","['ICICI', 'NH', 'TOTAL', 'LT', 'HDFC', 'UCL', 'ULTRACEMCO', 'BPL']",[],Sell,10,['adityabirla'],,
56,MIConferenceBrochure.pdf,['Others'],['NA'],['SCI'],[],,,[],,
57,Biocon - BAML.pdf,['baml'],"['manoj.r.garg', 'akumar221']","['APHS IN', 'CIPLA IN', 'CDH IN', 'LPC IN', 'GNP IN', 'DRRD IN', 'SUNP IN', 'BIOS IN', 'ARBP IN', 'CIPLA']",[],Buy,9,"['baml', 'BofA Merrill Lynch Global Research']",,
58,BuffettWhartonspeech.pdf,['Others'],['Charles Kornblith'],[],[],,,[],,
59,correspondence2_p.pdf,['Others'],['NA'],[],[],,,[],,
60,IDirect_Concor_Q4FY17.pdf,['icicisecurities'],"['bharat.chhodal', 'pankaj.pandey', 'ankit.panchmatia', 'research']",['ICICI'],[],Buy,1370,"['icicidirect', 'icicisecurities', 'ICICIdirect.com Research']",,
61,Dolat- Rallis India- Key takeaways from the annual report.pdf,['dolatcapital'],['rajeshs'],['ACC'],[],Sell,144,"['dolatcapital', 'Dolat  Research']",,
62,aviationweek.pdf,['Others'],['Ranjit'],[],[],,,[],,
63,"KPMG Flash News - New Companies Act, 2013 - Insight Series.pdf",['Others'],['KPMG\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c'],['DLF'],[],,,[],,
64,HIL Ltd - IC - BP Equitiesb.pdf,['bpwealth'],['harshilshethia'],"['HIL', 'HIL IN']",['HIL Ltd.'],,,"['bpwealth', 'BP Equities Research']",,
65,Hudgins.pdf,['odec'],['dhudgins'],[],[],,,['odec'],,
66,vedcmd_q_a_transcript.pdf,['Others'],['5928'],[],[],Buy,737,[],,
67,The Front Page 20190325.pdf,['iiflcap'],"['kunal.shah', 'rishi.jhunjhunwala', 'avi.mehta', 'ameya.karambelkar', 'mail', 'ala']","['ICICI', 'INFOE IN', 'IIFL', 'HDFC', 'NTPC']",['Punjab National Bank'],Sell,10,"['iiflcap', 'iif', 'indiainfoline', 'IIFL Research']",,
68,Havells India Q1FY14 Result Update.pdf,['emkayglobal'],"['pritesh.chheda', 'prashant.kutty']",[],['Emkay Global Financial Services Ltd.'],,,"['emkayglobal', 'Emkay Research']",,
69,Edelweiss Investment Banking_BFSI Newsletter (December  2015).pdf,['Bloomberg'],['Sameer Gaud'],"['PTC', 'RBL', 'IDBI', 'ICICI', 'PFC', 'IDFC', 'LT', 'DHFL', 'ICRA', 'HDFC', 'IFCI', 'CRISIL']","['LIC Housing Finance Ltd.', 'United Bank of India', 'Syndicate Bank', 'Allahabad Bank', 'Punjab National Bank', 'Canara Bank', 'UCO Bank']",Buy,2016,['Bloomberg'],,
70,Emkay  Chambal Fertilisers Q2FY17 Result Update-074044.pdf,['emkayglobal'],"['rohan.gupta', 'pratik.tholiya']","['MCX', 'ACC', 'CHMB IN']",['Emkay Global Financial Services Ltd.'],,,"['emkayglobal', 'Emkay Research']",,
71,ICICI Direct- Talwarkar BetterValue.pdf,['icicisecurities'],"['rashes.shah', 'pankaj.pandey', 'sneha.agarwal', 'research']",['ICICI'],[],Buy,22,"['icicidirect', 'icicisecurities', 'ICICIdirect.com Research']",,
72,Lupin UBS 100816.pdf,['ubs'],['hemant.bakhru'],['SPECTRUM'],[],Buy,2200,"['ubs', 'Company filings']",,
73,IN_en.pdf,['un'],"['india', 'indiaun']",[],[],,,"['prodigy', 'un']",,
74,Banks_NBFCs_-_4QFY17_Results_Preview_-_HDFC_sec.pdf,['hdfcsec'],"['darpin.shah', 'vishal.rampuria', 'pranav.gupta']","['ICICI', 'AVG', 'UJJIVAN', 'SBIN', 'EQUITAS', 'CUB', 'HDFC']",[],,,"['hdfcsec', 'HDFC sec Inst Research']",,
75,Telecom_Vodafone_Idea_merger_Jan17.pdf,['icicisecurities'],['sanjesh.jain'],['ICICI'],[],,,"['icicisecurities', 'TRAI']",,
76,TI Annual Report 08-09.pdf,['tilind'],"['tiliquor', 'ssingh']","['THE IN', 'CLASSIC', 'HDFC', 'TI']","['HDFC Bank Ltd.', 'Axis Bank Ltd.', 'Tilaknagar Industries Ltd.', 'Yes Bank Ltd.']",Sell,16,['tilind'],,
77,The benefits of being a real fraudster - FT.pdf,['Others'],['NA'],[],[],,,[],,
78,IDirect_Greenply_IC.pdf,['icicisecurities'],"['vaibhav.shah', 'pankaj.pandey', 'research']","['HSIL', 'ICICI']",[],Buy,44,"['icicidirect', 'icicisecurities', 'ICICIdirect.com Research']",,
79,kotak ecommerce.pdf,['kotak'],"['akhilesh.tilotia', 'kotak.research']",['MCX'],[],Sell,12,['kotak'],,
80,Space.pdf,['Others'],['e28098'],[],[],,,[''],,
81,CG Power - Elara-.pdf,['elaracapital'],['welcome'],"['CGPOWER IN', 'ACC', 'CGPOWER']",[],Buy,85,"['elaracapital', 'Elara Securities Estimate']",,
82,Thomas Cook (I).pdf,['Others'],['NA'],[],[],,,[],,
83,ivey-executive-program.pdf,['ivey'],[''],[],[],,,['ivey'],,
84,Audited Financial Results_30.06.2014.pdf,['nlage'],['Per'],"['SYMPHONY', 'TOTAL']",[],,,['nlage'],,
85,IndiaMorningBrief_13June2018.pdf,['jmfl'],['Rupesh Sonawale'],"['ONGC', 'ICICI', 'M&M', 'PNB', 'GAIL', 'UPL', 'HDFC', 'SRF', 'BHEL', 'GTPL', 'NTPC', 'SAIL', 'TI']","['UPL Ltd.', 'Sobha Ltd.', 'Punjab National Bank', 'Canara Bank', 'Marico Ltd.', 'Indian Bank']",Buy,14,['jmfl'],,
86,ConsumerStaples-17-11-11-PL.pdf,['plindia'],['gautamduggal'],['ITC'],[],,,"['plindia', 'PL Research']",,
87,Ambit - Bajaj Finance (SELL) errclub Steep valuations and rising risks.pdf,['ambitcapital'],"['ravisingh', 'aadeshmehta', 'pankajagarwal', 'joelpereira']","['ICICI', 'M&M', 'BAF IN', 'HDFC']",[],Sell,14,"['ambitcapital', 'Ambit Capital research']",,
88,BNK_SONA@IN_021715_161235.pdf,['bksec'],"['annamalai.jayaraj', 'kartik.rajpara']",[],[],Buy,53,"['bksec', 'B&K  Research']",,
89,Career Launcher Investment Kit.pdf,['Others'],['ks'],[],[],,,[],,
90,Citi - India Budget.pdf,['citi'],"['surendra.goyal', 'samiran.chakraborty', 'anurag.jha', 'vijit.jain', 'siddharth.mathur']","['M&M', 'NH', 'GAIL', 'IDEA', 'ITC']",[],Buy,2015,"['citi', 'Citi Research']",,
91,FoE-20180208-MOSL-ES-PG006.pdf,['motilaloswal'],"['Nikhil.Gupta', 'Rahul.Agrawal']",['HUDCO'],[],,,"['MotilalOswal', 'motilaloswal', 'CSO']",,
92,Balkrishna Inds quant.pdf,['Others'],['NA'],['PEL'],[],,,[],,
93,EY-Tax-Alert-key-proposals-of-the-Direct-Taxes-Code-2010%20.pdf,['Others'],['sudhir.masuti'],[],[],,,[],,
94,Millennials to Anchor India's Growth Story.pdf,['morganstanley'],[None],"['HDFC', 'TOTAL']",[],Buy,12,"['morganstanley', 'Morgan Stanley Research']",,
95,Goodyear+India+-+Stock+Note.pdf,['hdfcsec'],['hdfcsecretailresearch'],"['M&M', 'GDYR IN', 'GOODYEAR', 'HDFC']","['Cash & Cash Equivalent', 'Goodyear India Ltd.']",,,['hdfcsec'],,
96,UPL (1QFY19) - HDFC sec.pdf,['hdfcsec'],"['archit.joshi', 'nilesh.ghuge']","['UPLL IN', 'TOTAL', 'LT', 'UPL', 'HDFC']",[],,,"['hdfcsec', 'HDFC sec Inst Research']",,
97,ESIB Bajaj Finserve1.pdf,['espiritosantoib'],"['Santosh Singh, CFA']","['BJFIN IN', 'AMBER', 'SIL']",[],Buy,2,"['espiritosantoib', ' 51%', 'Company Data']",,
98,H016615261.pdf,['Others'],['Rajendra'],[],[],,,[],,
99,It services 2.pdf,['ubs'],"['michael.briest', 'peter.christiansen', 'diviya.nagarajan', 'steven.milunovich', 'tal.grant']","['INFY', 'TCS']","['Wipro Ltd.', 'Tata Consultancy Services Ltd.']",Buy,660,['ubs'],,
100,DCM Ltd Report.pdf,['yahoo'],['annu_agg007'],"['ICICI', 'DCM', 'HDFC', 'IFCI', 'RITES']","['Force Motors Ltd.', 'Ashok Leyland Ltd.', 'DCM Ltd.', 'Mahindra & Mahindra Ltd.', 'Maruti Suzuki India Ltd.']",,140,"['yahoo', 'Accord Fintech']",,
101,10_chapter 5.pdf,['Others'],['NA'],[],[],,,[],,
102,AMP - 210316.pdf,['antiquelimited'],"['jigar.shah', 'basudeb.banerjee', 'digant.haria']","['ONGC', 'LUPIN', 'IRB', 'ITC', 'BHEL', 'GLENMARK', 'INFRATEL', 'APOLLOTYRE', 'BEML', 'NTPC', 'SIEMENS', 'POWERGRID', 'GRUH', 'REPCO IN', 'GRHF IN', 'LT', 'MOIL', 'IOC', 'TCS', 'HDFC', 'APOLLO', 'HSIL', 'ICICI', 'M&M', 'GAIL', 'OIL', 'ICRA', 'SAIL', 'MRF', 'NMDC', 'ACC', 'KEC', 'MUNI IN', 'PTC', 'MEP', 'NH', 'VOLTAS', 'HINDPETRO', 'CONCOR', 'ABB', 'CESC', 'BPCL', 'CENTURYTEX']","['Canara Bank', 'Punjab National Bank']",Buy,362,"['antiquelimited', 'Antique']",,
103,Granules_-_2QFY18_-_HDFC_sec.pdf,['hdfcsec'],"['amey.chalke', 'siddhant.mansukhani']","['GRAN IN', 'TOTAL', 'GRANULES', 'HDFC']",[],Sell,170,"['hdfcsec', 'HDFC sec Inst Research']",,
104,Ambit_Walk in the woods_Fortnightly_What we are hearing_18July2018.pdf,['ambit'],['Karan Khanna'],[],[],,,"['ambit', 'Ambit Capital research']",,
105,MCX_Edel.pdf,['edelweissfin'],"['kunal.shah', 'prakhar.agarwal', 'aditya.narain']","['ICICI', 'IDFC', 'HDFC', 'MCX']","['Allahabad Bank', 'Punjab National Bank', 'Union Bank Of India', 'Equitas Holdings Ltd.', 'Oriental Bank Of Commerce']",Buy,28,['edelweissfin'],,
106,AR032012.pdf,['finolexind'],"['E-mail:bhargaves', 'E-mail:investors', 'investors']","['IDBI', 'ICICI', 'TOTAL', 'FINPIPE', 'HDFC', 'NOCIL', 'PRAKASH']","['Corporation Bank', 'Finolex Cables Ltd.', 'Punjab National Bank']",Sell,21,"['finolexind', 'vsnl']",,
107,Against the Tide.pdf,['antiquelimited'],['Anant Bhosle'],"['SOTL', 'ISL IN', 'ALOK IN', 'PSL', 'GDSP IN', 'GITG IN', 'HCC', 'ILFT IN', 'ORB IN', 'JSTL IN', 'DEN', 'OINL IN', 'NBVL IN', 'SKNL IN', 'DEN IN', 'OIL', 'SOTL IN', 'CESC', 'BPCL', 'MCX']","['Reliance Infrastructure Ltd.', 'Bharat Petroleum Corporation Ltd.', 'JSW Steel Ltd.', 'Ind-Swift Laboratories Ltd.']",Sell,2007,"['antiquelimited', 'Bloomberg']",,
108,Global Logistics.pdf,['glprop'],['agoel'],['LT'],[],,,['glprop'],,
109,APNT-20160727-MOSL-RU-PG008.pdf,['motilaloswal'],"['kadambari.balachandran', 'Varun.kumar']",['APNT IN'],[],Buy,3,"['motilaloswal', 'MOSL']",,
110,KMB-20141121-MOSL-CU-PG014.pdf,['motilaloswal'],"['reports', 'Alpesh.Mehta', 'kadambari.balachandran', 'Email:anosh.Koppikar', 'Vallabh.Kulkarni']","['ICICI', 'KMB IN', 'HDFC']",[],Buy,41,"['MotilalOswal', 'motilaloswal', 'Company']",,
111,"The Federal Bank Ltd. Insights - Earnings recover, valuation comfortable.pdf",['emis'],['prane'],"['RBL', 'ICICI', 'CUB', 'HDFC']",[],Sell,1,['emis'],,
112,just dial - 240913 - centrum.pdf,['centrum'],['Ankit.kedia'],"['TCS', 'IDEA', 'CDSL', 'MCX', 'HDFC', 'JUST IN']",[],Sell,902,"['centrum', 'Centrum Broking']",,
113,BHEL 2QFY18 Outlook Review.pdf,['sparkcapital'],"['sriram', 'ravi']","['TOTAL', 'BHEL IN', 'BHEL', 'SRIRAM']",[],Sell,83,['sparkcapital'],,
114,ABD-20150318-MOSL-CF-PG004.pdf,['motilaloswal'],"['Manish.Poddar', 'reports', 'kadambari.balachandran', 'anosh.Koppikar', 'Gautam.Duggad']",[],[],,,"['MotilalOswal', 'motilaloswal', 'MOSL']",,
115,JUST_1QFY17 result review.pdf,[' 22x'],['469'],"['JUST IN', 'TOTAL']",[],,3,[' 22x'],,
116,EDELFLASH_-_FERTILISERS_-_GAS_PRICE_HIKE_TO_IMPACT_ADVERSELY-13-JAN-14.pdf,['edelweissfin'],"['nischal.maheshwari', 'manoj.bahety', 'vikas.khemani', 'nirav.sheth', 'manish.mahawar']",[],[],Buy,2014,['edelweissfin'],,
117,BOAML-BhagMilkhaBhag.pdf,['baml'],['indranil.sengupta'],['TI'],[],,,"['baml', 'BofA Merrill Lynch Global Research estimate.']",,
118,enam_voltas.pdf,['enam'],"['kashyap.pujara', 'farzan.madon']",[],[],Buy,74,"['enam', 'ENAM Research']",,
119,nestle.pdf,['Others'],['toufiq.l'],"['HDFC', 'ICICI']",[],Buy,12,[],,
120,Antique Broking- Management Meet Update India Banking -errclub TransUnion CIBIL - Retail underwriting remain strong.pdf,['antiquelimited'],"['nitin.aggarwal', 'renish.patel']",[],[],,,"['antiquelimited', 'Antique']",,
121,DB - UPL.pdf,['db'],['amit.murarka'],"['UPL', 'UPLL IN']",[],,,"['db', 'Deutsche Bank']",,
122,Kotak_15Jan16_Consumer_Querimetrix.pdf,['&'],['INITIAL '],"['MARUTI', 'TOTAL', 'NETWORK']",[],Buy,10,"['&', 'Kotak Institutional Equities']",,
123,ice cap asset - shoe view - jan14.pdf,['IceCapAssetManagement'],['keithdicker'],['BANG'],[],,,['IceCapAssetManagement'],,
124,EDEL- Media - Hits ‘n’ Misses errclub Share gains amidst demonetisation blues.pdf,['edelweissfin'],"['abneesh.roy', 'rajiv.berlia', 'manoj.bahety']","['PVR', 'TI']",[],,,"['edelweissfin', 'Edelweiss research']",,
125,"JMFL– Sun TV Network -errclub- Business becoming more Tamil-centric, stock remains undervalued.pdf",['jmfl'],"['sanjay.chawla', 'zeeshan.bagwan']",[],[],Buy,450,"['jmfl', 'JM Financial.']",,
126,BAFL MAy 2016 Concall Transcripts.pdf,['Others'],['(anonymous)'],[],[],Sell,3,[],,
127,India+consumer+sector+Nov+12.pdf,['credit-suisse'],"['akshay.saxena', 'arnab.mitra']",['ITC'],[],Sell,2012,"['credit-suisse', 'Bloomberg']",,
128,em_20_anniversary.pdf,[' Turkey'],"['clientservice', 'sat ']",['LT'],[],,,"[' Turkey', 'mscibarra', 'MSCI Standard Indices']",,
129,Cement Sector - Monthly Update - 28 Mar 18.pdf,['bksec'],"['amit.srivastava', 'saurabh.mitra']",['ACC'],[],Buy,310,"['bksec', 'B&K\tResearch']",,
130,federal.pdf,['Others'],['NEW'],['CHI'],[],,,[],,
131,Axis Direct- Aurobindo - In-line EBITDA, US growth visibility remains.pdf,['axissecurities'],"['akhand.singh', 'sankar.narayanan']",[],[],Buy,940,"['axissecurities', 'Company']",
132,pn5_2005.pdf,['Others'],['grip'],[],[],,,[],,
